ID	ID_rekl	LiczbaFiksacji	CzasFiksacji	CzasNaAOI	PLEC	WIEK4	pismo	tematyka	rodzaj	wielkosc	branza	ADReach	ADExp	ADExpTime	Zauważalność		
ID012700027	239	1	366	366	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	13,061412	10,3662	100		
ID012700027	295	1	1082	1082	2	2	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	7,463664	3,524508	100		
ID012700027	281	1	1519,560932	1519,560932	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,589484	0,829296	100		
ID012700021	264	1	333	333	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	7,809204	5,321316	100		
ID012700021	272	1	754	754	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,865916	0,898404	100		
ID012700021	230	1	679	679	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	4,699344	2,41878	100		
ID012700021	237	1	468	468	2	1	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	1,865916	0,760188	100		
ID0101000000009	127	1	466	466	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	21,630804	21,354372	100		
ID0101000000012	131	1	334	334	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	6,56526	4,077372	88,88888889		
ID0101000000033	127	1	464	464	2	3	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	17,898972	12,646764	100		
ID0101000000047	126	1	301	301	2	2	glamou	magazyny luksusowe	normal	Double Page	Kosmetyki	0,4	4,077372	3,939156	100		
ID0101000000803	126	1	389	389	2	1	glamou	magazyny luksusowe	normal	Double Page	Kosmetyki	0,4	2,695212	1,243944	100		
ID0101000000822	128	1	523	523	2	2	glamou	magazyny luksusowe	normal	Mniejszy format	Kosmetyki	0,4	2,695212	2,142348	50		
ID0101000000822	132	1	644	644	2	2	glamou	magazyny luksusowe	normal	Mniejszy format	Kosmetyki	0,4	4,077372	2,833428	37,5		
ID0101000001505	7563	1	1866	1866	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	6,081504	3,040752	100		
ID0101000001505	7566	1	620	620	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,105728	0,414648	100		
ID0101000001505	7572	1	477	477	2	1	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	3,386292	1,589484	92,30769231		
ID0101000001505	7574	1	594	594	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Zdrowie	0,4	3,593616	2,142348	66,66666667		
ID0101000001511	7553	1	400	400	2	3	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	3,731832	1,520376	100		
ID0101000001511	7570	1	456	456	2	3	glamou	magazyny luksusowe	normal	Full Page	Turystyka i sport	0,4	4,008264	1,796808	100		
